Cloudlet ID,Status,Datacenter ID,VM ID,Actual CPU Time,Start Time,End Time,Task Size,Wait Time,Response Time,Makespan,Turnaround Time
605,SUCCESS,2,35,1.27,0.01,1.28,Small,0.00,1.27,1.27,1.27
700,SUCCESS,2,9,1.27,0.01,1.28,Small,0.00,1.27,1.27,1.27
622,SUCCESS,2,39,1.27,0.01,1.28,Small,0.00,1.27,1.27,1.27
600,SUCCESS,2,19,1.31,0.01,1.32,Small,0.00,1.31,1.31,1.31
323,SUCCESS,2,23,1.43,0.01,1.44,Small,0.00,1.43,1.43,1.43
720,SUCCESS,2,5,1.47,0.01,1.48,Small,0.00,1.47,1.47,1.47
257,SUCCESS,2,35,1.49,0.01,1.50,Small,0.00,1.49,1.49,1.49
684,SUCCESS,2,6,1.49,0.01,1.50,Small,0.00,1.49,1.49,1.49
863,SUCCESS,2,7,1.51,0.01,1.52,Small,0.00,1.51,1.51,1.51
124,SUCCESS,2,28,1.52,0.01,1.53,Small,0.00,1.52,1.52,1.52
612,SUCCESS,2,2,1.57,0.01,1.58,Small,0.00,1.57,1.57,1.57
552,SUCCESS,2,41,1.60,0.01,1.61,Small,0.00,1.60,1.60,1.60
1,SUCCESS,2,42,1.60,0.01,1.61,Small,0.00,1.60,1.60,1.60
440,SUCCESS,2,49,1.60,0.01,1.61,Small,0.00,1.60,1.60,1.60
869,SUCCESS,2,13,1.61,0.01,1.62,Small,0.00,1.61,1.61,1.61
319,SUCCESS,2,17,1.61,0.01,1.62,Small,0.00,1.61,1.61,1.61
375,SUCCESS,2,27,1.61,0.01,1.62,Small,0.00,1.61,1.61,1.61
87,SUCCESS,2,34,1.63,0.01,1.64,Small,0.00,1.63,1.63,1.63
483,SUCCESS,2,7,1.66,0.01,1.67,Small,0.00,1.66,1.66,1.66
554,SUCCESS,2,40,1.68,0.01,1.69,Small,0.00,1.68,1.68,1.68
250,SUCCESS,2,16,1.68,0.01,1.69,Small,0.00,1.68,1.68,1.68
748,SUCCESS,2,26,1.68,0.01,1.69,Small,0.00,1.68,1.68,1.68
791,SUCCESS,2,20,1.70,0.01,1.71,Small,0.00,1.70,1.70,1.70
788,SUCCESS,2,24,1.70,0.01,1.71,Small,0.00,1.70,1.70,1.70
495,SUCCESS,2,16,1.70,0.01,1.71,Small,0.00,1.70,1.70,1.70
206,SUCCESS,2,47,1.70,0.01,1.71,Small,0.00,1.70,1.70,1.70
426,SUCCESS,2,15,1.72,0.01,1.73,Small,0.00,1.72,1.72,1.72
712,SUCCESS,2,19,1.72,0.01,1.73,Small,0.00,1.72,1.72,1.72
421,SUCCESS,2,34,1.82,0.01,1.83,Small,0.00,1.82,1.82,1.82
395,SUCCESS,2,13,1.83,0.01,1.84,Small,0.00,1.83,1.83,1.83
596,SUCCESS,2,20,1.86,0.01,1.87,Small,0.00,1.86,1.86,1.86
771,SUCCESS,2,26,1.86,0.01,1.87,Small,0.00,1.86,1.86,1.86
127,SUCCESS,2,29,1.86,0.01,1.87,Small,0.00,1.86,1.86,1.86
648,SUCCESS,2,22,1.88,0.01,1.89,Small,0.00,1.88,1.88,1.88
639,SUCCESS,2,26,1.89,0.01,1.90,Small,0.00,1.89,1.89,1.89
585,SUCCESS,2,37,1.90,0.01,1.91,Small,0.00,1.90,1.90,1.90
862,SUCCESS,2,2,1.92,0.01,1.93,Small,0.00,1.92,1.92,1.92
562,SUCCESS,2,29,1.94,0.01,1.95,Small,0.00,1.94,1.94,1.94
289,SUCCESS,2,49,1.94,0.01,1.95,Small,0.00,1.94,1.94,1.94
204,SUCCESS,2,1,1.98,0.01,1.99,Small,0.00,1.98,1.98,1.98
7,SUCCESS,2,3,1.98,0.01,1.99,Small,0.00,1.98,1.98,1.98
853,SUCCESS,2,32,2.05,0.01,2.06,Small,0.00,2.05,2.05,2.05
110,SUCCESS,2,44,2.05,0.01,2.06,Small,0.00,2.05,2.05,2.05
231,SUCCESS,2,46,2.07,0.01,2.08,Small,0.00,2.07,2.07,2.07
390,SUCCESS,2,37,2.07,0.01,2.08,Small,0.00,2.07,2.07,2.07
413,SUCCESS,2,29,2.10,0.01,2.11,Small,0.00,2.10,2.10,2.10
269,SUCCESS,2,7,2.20,0.01,2.21,Small,0.00,2.20,2.20,2.20
741,SUCCESS,2,18,2.21,0.01,2.22,Small,0.00,2.21,2.21,2.21
169,SUCCESS,2,11,2.23,0.01,2.24,Small,0.00,2.23,2.23,2.23
581,SUCCESS,2,18,2.27,0.01,2.28,Small,0.00,2.27,2.27,2.27
348,SUCCESS,2,31,2.29,0.01,2.30,Small,0.00,2.29,2.29,2.29
146,SUCCESS,2,6,2.29,0.01,2.30,Small,0.00,2.29,2.29,2.29
568,SUCCESS,2,28,2.29,0.01,2.30,Small,0.00,2.29,2.29,2.29
80,SUCCESS,2,6,2.30,0.01,2.31,Small,0.00,2.30,2.30,2.30
675,SUCCESS,2,35,2.36,0.01,2.37,Small,0.00,2.36,2.36,2.36
887,SUCCESS,2,3,2.41,0.01,2.42,Small,0.00,2.41,2.41,2.41
717,SUCCESS,2,22,2.43,0.01,2.44,Small,0.00,2.43,2.43,2.43
787,SUCCESS,2,2,2.45,0.01,2.46,Small,0.00,2.45,2.45,2.45
882,SUCCESS,2,16,2.46,0.01,2.47,Small,0.00,2.46,2.46,2.46
535,SUCCESS,2,23,2.47,0.01,2.48,Small,0.00,2.47,2.47,2.47
115,SUCCESS,2,3,2.49,0.01,2.50,Small,0.00,2.49,2.49,2.49
827,SUCCESS,2,37,2.52,0.01,2.53,Small,0.00,2.52,2.52,2.52
883,SUCCESS,2,13,2.54,0.01,2.55,Small,0.00,2.54,2.54,2.54
182,SUCCESS,2,27,2.55,0.01,2.56,Small,0.00,2.55,2.55,2.55
86,SUCCESS,2,19,2.57,0.01,2.58,Small,0.00,2.57,2.57,2.57
5,SUCCESS,2,29,2.57,0.01,2.58,Small,0.00,2.57,2.57,2.57
430,SUCCESS,2,4,2.58,0.01,2.59,Small,0.00,2.58,2.58,2.58
889,SUCCESS,2,47,2.58,0.01,2.59,Small,0.00,2.58,2.58,2.58
336,SUCCESS,2,18,2.58,0.01,2.59,Small,0.00,2.58,2.58,2.58
822,SUCCESS,2,8,2.60,0.01,2.61,Small,0.00,2.60,2.60,2.60
240,SUCCESS,2,27,2.61,0.01,2.62,Small,0.00,2.61,2.61,2.61
43,SUCCESS,2,48,2.61,0.01,2.62,Small,0.00,2.61,2.61,2.61
796,SUCCESS,2,20,2.66,0.01,2.67,Small,0.00,2.66,2.66,2.66
583,SUCCESS,2,0,2.67,0.01,2.68,Small,0.00,2.67,2.67,2.67
767,SUCCESS,2,11,2.69,0.01,2.70,Small,0.00,2.69,2.69,2.69
409,SUCCESS,2,15,2.70,0.01,2.71,Small,0.00,2.70,2.70,2.70
11,SUCCESS,2,25,2.70,0.01,2.71,Small,0.00,2.70,2.70,2.70
205,SUCCESS,2,6,2.70,0.01,2.71,Small,0.00,2.70,2.70,2.70
614,SUCCESS,2,39,2.71,0.01,2.72,Small,0.00,2.71,2.71,2.71
760,SUCCESS,2,33,2.74,0.01,2.75,Small,0.00,2.74,2.74,2.74
534,SUCCESS,2,23,2.75,0.01,2.76,Small,0.00,2.75,2.75,2.75
26,SUCCESS,2,11,2.77,0.01,2.78,Small,0.00,2.77,2.77,2.77
844,SUCCESS,2,26,2.77,0.01,2.78,Small,0.00,2.77,2.77,2.77
432,SUCCESS,2,18,2.77,0.01,2.78,Small,0.00,2.77,2.77,2.77
244,SUCCESS,2,40,2.80,0.01,2.81,Small,0.00,2.80,2.80,2.80
531,SUCCESS,2,48,2.83,0.01,2.84,Small,0.00,2.83,2.83,2.83
48,SUCCESS,2,26,2.85,0.01,2.86,Small,0.00,2.85,2.85,2.85
679,SUCCESS,2,43,2.86,0.01,2.87,Small,0.00,2.86,2.86,2.86
165,SUCCESS,2,29,2.90,0.01,2.91,Small,0.00,2.90,2.90,2.90
237,SUCCESS,2,2,2.94,0.01,2.95,Small,0.00,2.94,2.94,2.94
525,SUCCESS,2,43,2.98,0.01,2.99,Small,0.00,2.98,2.98,2.98
157,SUCCESS,2,30,3.01,0.01,3.02,Small,0.00,3.01,3.01,3.01
30,SUCCESS,2,33,3.03,0.01,3.04,Small,0.00,3.03,3.03,3.03
341,SUCCESS,2,10,3.04,0.01,3.05,Small,0.00,3.04,3.04,3.04
615,SUCCESS,2,33,3.05,0.01,3.06,Small,0.00,3.05,3.05,3.05
320,SUCCESS,2,32,3.09,0.01,3.10,Small,0.00,3.09,3.09,3.09
347,SUCCESS,2,7,3.15,0.01,3.16,Small,0.00,3.15,3.15,3.15
120,SUCCESS,2,44,3.17,0.01,3.18,Small,0.00,3.17,3.17,3.17
260,SUCCESS,2,4,3.19,0.01,3.20,Small,0.00,3.19,3.19,3.19
155,SUCCESS,2,14,3.19,0.01,3.20,Small,0.00,3.19,3.19,3.19
580,SUCCESS,2,45,3.19,0.01,3.20,Small,0.00,3.19,3.19,3.19
850,SUCCESS,2,5,3.24,0.01,3.25,Small,0.00,3.24,3.24,3.24
178,SUCCESS,2,1,3.25,0.01,3.26,Small,0.00,3.25,3.25,3.25
756,SUCCESS,2,42,3.25,0.01,3.26,Small,0.00,3.25,3.25,3.25
407,SUCCESS,2,12,3.27,0.01,3.28,Small,0.00,3.27,3.27,3.27
